date,zz1000,hs300,spread_close,score,return,gross_return,cost,turnover,gross_exposure,target_vol_raw_scale,target_vol_scale,target_vol_deadband_suppressed,realized_vol,nav,nav_defense_gate,overheat_gate,overheat_indicator,overheat_scale
2014-10-17,6058.668,2441.732,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-20,6154.52,2454.711,0.9896584598203526,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-21,6103.008,2433.391,0.9893435306336243,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-22,6027.51,2418.641,0.9956636018755005,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-23,5930.483,2395.936,1.0024536644698967,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-24,5941.926,2390.706,0.9983391277303603,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-27,6006.838,2368.832,0.9785150320544184,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-28,6163.672,2416.653,0.9728680393526333,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-29,6246.699,2451.384,0.9737330870639765,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-30,6241.588,2468.925,0.9815037411876572,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-10-31,6208.61,2508.325,1.002463541267219,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-03,6275.993,2512.548,0.9933700840743113,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-04,6231.816,2513.172,1.000660485618949,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-05,6227.245,2503.448,0.997520391451758,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-06,6289.192,2506.067,0.9887283442829224,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-07,6228.167,2502.153,0.9968567938882711,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-10,6246.612,2565.73,1.0191675352268448,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-11,6023.004,2558.612,1.0540723975704611,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-12,6120.058,2594.318,1.0518330939167055,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-13,6023.782,2579.75,1.0626433646345277,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-14,6009.446,2581.093,1.0657329073792314,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-17,6100.833,2567.101,1.0440780819526678,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-18,6139.522,2541.416,1.027118046552523,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-19,6193.562,2537.223,1.0164764242730946,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-20,6185.919,2537.099,1.0176825907606548,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-21,6240.774,2583.455,1.0271682945672314,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,,1.0
2014-11-24,6293.023,2649.258,1.0445857462825108,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,1.0,0,0,0.1987836395559437,1.0
