date,Sub-A,Sub-A-DK,Microcap,Sub-D,Sub-B
2011-12-09,0.0009302714808798,0.0066408971521738,0.0020762935477316,0.0,-0.0062003185648029
2011-12-12,-0.0004849431480586,0.001942874046674,0.0012134897250268,0.0,-0.0087535693043971
2011-12-13,0.0002224171854485,0.0072051612589738,-0.0100280591876799,0.0,-0.0054210932041344
2011-12-14,-0.0002020443805554,0.0105079980909663,-0.0008500186945761,0.0,-0.0122165955803391
2011-12-15,0.0002223904931106,-0.0098525471371383,-0.0056068598638711,0.0,-0.0035848270237274
2011-12-16,0.002627090046962,-0.0148848045962283,-0.0088977029338362,0.0,0.0102999477022176
2011-12-19,-0.0011375103863908,-0.0063079433457787,0.0,0.0,0.0035433764569356
2011-12-20,0.0001211499702025,0.0041295982449096,-0.0044999999999999,0.0,-0.0050080577502789
2011-12-21,0.0001211499702025,0.0179635803415421,-0.0059665119919135,0.0,-0.0058041845242967
2011-12-22,0.0001211499702025,0.0265834041800303,-0.0126751843639509,0.0,0.0010932682057862
2011-12-23,0.0001211499702025,-0.0019229178995401,0.0058416190175525,0.0,-0.0033138172360428
2011-12-26,0.0001211499702025,-0.0037235151558498,-0.0069995071954784,0.0,0.0
2011-12-27,0.0001211499702025,0.0320037482806505,-0.0151729575687764,0.0,-0.00026145740794
2011-12-28,0.0001211499702025,0.0121766118063593,-0.0056425274299367,0.0,-0.0003422014187325
2011-12-29,0.0001211499702025,0.0007361840002544,0.0001925193584075,0.0,0.0001070253308861
2011-12-30,0.0001211499702025,-0.0054922743507863,-0.0045611987704917,0.0,0.0033888165184219
2012-01-03,0.0,0.0,0.0,0.0,0.0007443453765942
2012-01-04,0.0001211499702025,0.014628413749242,-6.14754098360315e-05,0.0,-0.0028070681923663
2012-01-05,0.0001211499702025,0.0531543655752666,-0.0045611987704917,0.0,0.0012495916369914
2012-01-06,0.0001211499702025,0.0010782595909457,0.0,0.0,0.0018823116763651
2012-01-09,0.0001211499702025,-0.011204317192839,0.0,0.0,-0.0022079471705854
2012-01-10,0.0001211499702025,-0.0060770804651533,0.0,0.0,0.0040112317574745
2012-01-11,0.0001211499702025,-0.0059277455327935,-0.0044999999999999,0.0,0.0063398065618298
2012-01-12,0.0001211499702025,0.0111456020915079,-0.0010908707933063,0.0,0.0013107662078166
2012-01-13,-0.0006289408922751,0.0379313079416643,-0.0045611987704917,0.0,0.0010151392600465
2012-01-16,-0.0113504455994055,0.0246051235036974,-6.14754098360315e-05,0.0,0.0
2012-01-17,0.0672739885442101,-0.0007213576795721,-6.14754098360315e-05,0.0,0.0083793680740549
2012-01-18,-0.0189789145199137,0.0,-6.14754098360315e-05,0.0,0.0046331574133551
2012-01-19,0.0312731029678583,0.0,0.0041659768300179,0.0,-0.0021102060773685
2012-01-20,0.0209935490002957,0.0,0.0065536861338226,0.0,-0.0022135383880164
2012-01-23,0.0,0.0,0.0,0.0,0.0013701201813158
2012-01-24,0.0,0.0,0.0,0.0,-0.0028762305524924
2012-01-25,0.0,0.0,0.0,0.0,0.0166000622708857
2012-01-26,0.0,0.0,0.0,0.0,0.0030755501097583
2012-01-27,0.0,0.0,0.0,0.0,0.0078334193293472
2012-01-30,-0.027332212781399,0.0,0.0096668729710847,0.0,0.0005522489651317
2012-01-31,0.0015643703414642,0.0,0.0082039439531897,0.0,0.0075100934925254
2012-02-01,-0.0267326607422074,0.0,0.0087945166293967,0.0,0.0039876441830417
2012-02-02,0.0410122926419338,0.0,0.0043265508883114,0.0,0.0065356660497
2012-02-03,0.0011289830422196,0.0,0.0138915076285575,0.0,-0.0045292447664598
2012-02-06,-0.0063025724242817,-0.0090997089536435,0.0045707926552358,0.0,0.0004055070043951
